Epoch: 1, Time Spent: 60.90s, Accuracy: 80.86%
Epoch: 2, Time Spent: 121.82s, Accuracy: 86.47%
Epoch: 3, Time Spent: 182.58s, Accuracy: 88.49%
Epoch: 4, Time Spent: 243.56s, Accuracy: 89.65%
Epoch: 5, Time Spent: 304.15s, Accuracy: 90.44%
Epoch: 6, Time Spent: 365.29s, Accuracy: 91.08%
Epoch: 7, Time Spent: 426.79s, Accuracy: 91.58%
Epoch: 8, Time Spent: 488.60s, Accuracy: 91.98%
Epoch: 9, Time Spent: 549.66s, Accuracy: 92.28%
Epoch: 10, Time Spent: 610.75s, Accuracy: 92.61%
Epoch: 11, Time Spent: 671.41s, Accuracy: 92.87%
Epoch: 12, Time Spent: 732.21s, Accuracy: 93.06%
Epoch: 13, Time Spent: 792.84s, Accuracy: 93.29%
Epoch: 14, Time Spent: 853.23s, Accuracy: 93.48%
Epoch: 15, Time Spent: 913.83s, Accuracy: 93.62%
Epoch: 16, Time Spent: 973.98s, Accuracy: 93.79%
Epoch: 17, Time Spent: 1034.12s, Accuracy: 93.95%
Epoch: 18, Time Spent: 1094.57s, Accuracy: 94.09%
Epoch: 19, Time Spent: 1154.53s, Accuracy: 94.25%
Epoch: 20, Time Spent: 1214.56s, Accuracy: 94.39%
Epoch: 21, Time Spent: 1275.10s, Accuracy: 94.50%
Epoch: 22, Time Spent: 1335.27s, Accuracy: 94.63%
Epoch: 23, Time Spent: 1394.80s, Accuracy: 94.75%
Epoch: 24, Time Spent: 1454.54s, Accuracy: 94.84%
Epoch: 25, Time Spent: 1514.51s, Accuracy: 94.93%
Epoch: 26, Time Spent: 1574.31s, Accuracy: 95.04%
Epoch: 27, Time Spent: 1632.32s, Accuracy: 95.13%
Epoch: 28, Time Spent: 1691.66s, Accuracy: 95.22%
Epoch: 29, Time Spent: 1752.41s, Accuracy: 95.33%
Epoch: 30, Time Spent: 1812.80s, Accuracy: 95.41%
Epoch: 31, Time Spent: 1873.03s, Accuracy: 95.49%
Epoch: 32, Time Spent: 1933.09s, Accuracy: 95.57%
Epoch: 33, Time Spent: 1993.21s, Accuracy: 95.64%
Epoch: 34, Time Spent: 2053.67s, Accuracy: 95.69%
Epoch: 35, Time Spent: 2113.88s, Accuracy: 95.72%
Epoch: 36, Time Spent: 2173.78s, Accuracy: 95.78%
Epoch: 37, Time Spent: 2233.97s, Accuracy: 95.85%
Epoch: 38, Time Spent: 2294.35s, Accuracy: 95.90%
Epoch: 39, Time Spent: 2354.36s, Accuracy: 95.96%
Epoch: 40, Time Spent: 2414.29s, Accuracy: 96.01%
Epoch: 41, Time Spent: 2474.05s, Accuracy: 96.05%
Epoch: 42, Time Spent: 2534.54s, Accuracy: 96.08%
Epoch: 43, Time Spent: 2594.41s, Accuracy: 96.11%
Epoch: 44, Time Spent: 2654.96s, Accuracy: 96.16%
Epoch: 45, Time Spent: 2714.99s, Accuracy: 96.17%
Epoch: 46, Time Spent: 2775.11s, Accuracy: 96.20%
Epoch: 47, Time Spent: 2835.44s, Accuracy: 96.22%
Epoch: 48, Time Spent: 2895.87s, Accuracy: 96.24%
Epoch: 49, Time Spent: 2956.21s, Accuracy: 96.26%
Epoch: 50, Time Spent: 3016.41s, Accuracy: 96.28%
Epoch: 51, Time Spent: 3076.82s, Accuracy: 96.28%
Epoch: 52, Time Spent: 3137.13s, Accuracy: 96.30%
Epoch: 53, Time Spent: 3197.80s, Accuracy: 96.30%
Epoch: 54, Time Spent: 3258.17s, Accuracy: 96.29%
Epoch: 55, Time Spent: 3318.28s, Accuracy: 96.27%
Epoch: 56, Time Spent: 3378.53s, Accuracy: 96.28%
Epoch: 57, Time Spent: 3438.69s, Accuracy: 96.26%
Epoch: 58, Time Spent: 3499.18s, Accuracy: 96.23%
Epoch: 59, Time Spent: 3559.23s, Accuracy: 96.22%
Epoch: 60, Time Spent: 3619.07s, Accuracy: 96.18%
Epoch: 61, Time Spent: 3678.97s, Accuracy: 96.19%
Epoch: 62, Time Spent: 3739.04s, Accuracy: 96.17%
Epoch: 63, Time Spent: 3798.98s, Accuracy: 96.16%
Epoch: 64, Time Spent: 3858.71s, Accuracy: 96.12%
Epoch: 65, Time Spent: 3918.51s, Accuracy: 96.09%
Epoch: 66, Time Spent: 3978.37s, Accuracy: 96.06%
Epoch: 67, Time Spent: 4038.31s, Accuracy: 96.05%
Epoch: 68, Time Spent: 4098.03s, Accuracy: 96.05%
Epoch: 69, Time Spent: 4157.86s, Accuracy: 96.02%
Epoch: 70, Time Spent: 4217.53s, Accuracy: 96.03%
Epoch: 71, Time Spent: 4277.38s, Accuracy: 96.03%
Epoch: 72, Time Spent: 4336.99s, Accuracy: 96.01%
Epoch: 73, Time Spent: 4396.68s, Accuracy: 96.03%
Epoch: 74, Time Spent: 4456.53s, Accuracy: 96.08%
Epoch: 75, Time Spent: 4516.29s, Accuracy: 96.09%
Epoch: 76, Time Spent: 4576.13s, Accuracy: 96.11%
Epoch: 77, Time Spent: 4635.71s, Accuracy: 96.14%
Epoch: 78, Time Spent: 4695.43s, Accuracy: 96.19%
Epoch: 79, Time Spent: 4755.20s, Accuracy: 96.20%
Epoch: 80, Time Spent: 4814.90s, Accuracy: 96.23%
Epoch: 81, Time Spent: 4874.61s, Accuracy: 96.26%
Epoch: 82, Time Spent: 4934.25s, Accuracy: 96.32%
Epoch: 83, Time Spent: 4993.76s, Accuracy: 96.33%
Epoch: 84, Time Spent: 5053.71s, Accuracy: 96.37%
Epoch: 85, Time Spent: 5113.58s, Accuracy: 96.42%
Epoch: 86, Time Spent: 5173.10s, Accuracy: 96.42%
Epoch: 87, Time Spent: 5232.82s, Accuracy: 96.47%
Epoch: 88, Time Spent: 5292.25s, Accuracy: 96.51%
Epoch: 89, Time Spent: 5351.75s, Accuracy: 96.54%
Epoch: 90, Time Spent: 5411.11s, Accuracy: 96.56%
Epoch: 91, Time Spent: 5470.47s, Accuracy: 96.60%
Epoch: 92, Time Spent: 5530.14s, Accuracy: 96.64%
Epoch: 93, Time Spent: 5589.57s, Accuracy: 96.66%
Epoch: 94, Time Spent: 5649.02s, Accuracy: 96.68%
Epoch: 95, Time Spent: 5708.51s, Accuracy: 96.73%
Epoch: 96, Time Spent: 5767.98s, Accuracy: 96.76%
Epoch: 97, Time Spent: 5824.84s, Accuracy: 96.77%
Epoch: 98, Time Spent: 5880.82s, Accuracy: 96.81%
Epoch: 99, Time Spent: 5936.78s, Accuracy: 96.83%
