Epoch: 1, Time Spent: 45.63s, Accuracy: 21.39%
Epoch: 2, Time Spent: 90.91s, Accuracy: 34.76%
Epoch: 3, Time Spent: 136.21s, Accuracy: 42.83%
Epoch: 4, Time Spent: 181.45s, Accuracy: 50.78%
Epoch: 5, Time Spent: 226.66s, Accuracy: 58.15%
Epoch: 6, Time Spent: 271.74s, Accuracy: 63.56%
Epoch: 7, Time Spent: 317.07s, Accuracy: 67.53%
Epoch: 8, Time Spent: 362.47s, Accuracy: 70.59%
Epoch: 9, Time Spent: 409.08s, Accuracy: 72.94%
Epoch: 10, Time Spent: 455.68s, Accuracy: 74.87%
Epoch: 11, Time Spent: 502.09s, Accuracy: 76.44%
Epoch: 12, Time Spent: 548.86s, Accuracy: 77.69%
Epoch: 13, Time Spent: 595.37s, Accuracy: 78.78%
Epoch: 14, Time Spent: 641.80s, Accuracy: 79.74%
Epoch: 15, Time Spent: 688.48s, Accuracy: 80.50%
Epoch: 16, Time Spent: 734.95s, Accuracy: 81.25%
Epoch: 17, Time Spent: 781.45s, Accuracy: 81.87%
Epoch: 18, Time Spent: 827.85s, Accuracy: 82.49%
Epoch: 19, Time Spent: 874.11s, Accuracy: 82.93%
Epoch: 20, Time Spent: 920.80s, Accuracy: 83.40%
Epoch: 21, Time Spent: 967.08s, Accuracy: 83.79%
Epoch: 22, Time Spent: 1015.68s, Accuracy: 84.20%
Epoch: 23, Time Spent: 1062.29s, Accuracy: 84.62%
Epoch: 24, Time Spent: 1108.78s, Accuracy: 84.97%
Epoch: 25, Time Spent: 1155.50s, Accuracy: 85.25%
Epoch: 26, Time Spent: 1202.03s, Accuracy: 85.52%
Epoch: 27, Time Spent: 1248.46s, Accuracy: 85.77%
Epoch: 28, Time Spent: 1294.63s, Accuracy: 85.99%
Epoch: 29, Time Spent: 1341.02s, Accuracy: 86.19%
Epoch: 30, Time Spent: 1387.06s, Accuracy: 86.39%
Epoch: 31, Time Spent: 1433.29s, Accuracy: 86.61%
Epoch: 32, Time Spent: 1479.47s, Accuracy: 86.78%
Epoch: 33, Time Spent: 1525.38s, Accuracy: 86.94%
Epoch: 34, Time Spent: 1571.44s, Accuracy: 87.09%
Epoch: 35, Time Spent: 1617.37s, Accuracy: 87.24%
Epoch: 36, Time Spent: 1663.39s, Accuracy: 87.37%
Epoch: 37, Time Spent: 1709.42s, Accuracy: 87.53%
Epoch: 38, Time Spent: 1755.51s, Accuracy: 87.69%
Epoch: 39, Time Spent: 1801.42s, Accuracy: 87.79%
Epoch: 40, Time Spent: 1847.47s, Accuracy: 87.91%
Epoch: 41, Time Spent: 1893.49s, Accuracy: 88.03%
Epoch: 42, Time Spent: 1939.46s, Accuracy: 88.15%
Epoch: 43, Time Spent: 1985.30s, Accuracy: 88.25%
Epoch: 44, Time Spent: 2031.44s, Accuracy: 88.35%
Epoch: 45, Time Spent: 2077.36s, Accuracy: 88.43%
Epoch: 46, Time Spent: 2123.36s, Accuracy: 88.51%
Epoch: 47, Time Spent: 2169.24s, Accuracy: 88.62%
Epoch: 48, Time Spent: 2215.38s, Accuracy: 88.73%
Epoch: 49, Time Spent: 2261.37s, Accuracy: 88.80%
Epoch: 50, Time Spent: 2307.36s, Accuracy: 88.88%
Epoch: 51, Time Spent: 2353.50s, Accuracy: 88.94%
Epoch: 52, Time Spent: 2399.62s, Accuracy: 89.00%
Epoch: 53, Time Spent: 2446.42s, Accuracy: 89.08%
Epoch: 54, Time Spent: 2492.63s, Accuracy: 89.13%
Epoch: 55, Time Spent: 2538.47s, Accuracy: 89.19%
Epoch: 56, Time Spent: 2586.96s, Accuracy: 89.27%
Epoch: 57, Time Spent: 2633.16s, Accuracy: 89.35%
Epoch: 58, Time Spent: 2679.13s, Accuracy: 89.43%
Epoch: 59, Time Spent: 2725.00s, Accuracy: 89.50%
Epoch: 60, Time Spent: 2770.83s, Accuracy: 89.56%
Epoch: 61, Time Spent: 2816.63s, Accuracy: 89.63%
Epoch: 62, Time Spent: 2862.62s, Accuracy: 89.71%
Epoch: 63, Time Spent: 2908.42s, Accuracy: 89.77%
Epoch: 64, Time Spent: 2954.47s, Accuracy: 89.83%
Epoch: 65, Time Spent: 3000.31s, Accuracy: 89.87%
Epoch: 66, Time Spent: 3046.39s, Accuracy: 89.93%
Epoch: 67, Time Spent: 3092.34s, Accuracy: 90.01%
Epoch: 68, Time Spent: 3138.13s, Accuracy: 90.07%
Epoch: 69, Time Spent: 3184.18s, Accuracy: 90.14%
Epoch: 70, Time Spent: 3230.12s, Accuracy: 90.19%
Epoch: 71, Time Spent: 3276.24s, Accuracy: 90.24%
Epoch: 72, Time Spent: 3322.18s, Accuracy: 90.28%
Epoch: 73, Time Spent: 3368.12s, Accuracy: 90.34%
Epoch: 74, Time Spent: 3414.33s, Accuracy: 90.38%
Epoch: 75, Time Spent: 3460.32s, Accuracy: 90.43%
Epoch: 76, Time Spent: 3506.37s, Accuracy: 90.48%
Epoch: 77, Time Spent: 3552.43s, Accuracy: 90.54%
Epoch: 78, Time Spent: 3598.17s, Accuracy: 90.57%
Epoch: 79, Time Spent: 3643.84s, Accuracy: 90.61%
Epoch: 80, Time Spent: 3689.54s, Accuracy: 90.65%
Epoch: 81, Time Spent: 3735.33s, Accuracy: 90.68%
Epoch: 82, Time Spent: 3781.13s, Accuracy: 90.72%
Epoch: 83, Time Spent: 3826.84s, Accuracy: 90.76%
Epoch: 84, Time Spent: 3872.48s, Accuracy: 90.81%
Epoch: 85, Time Spent: 3917.88s, Accuracy: 90.84%
Epoch: 86, Time Spent: 3963.03s, Accuracy: 90.88%
Epoch: 87, Time Spent: 4008.17s, Accuracy: 90.92%
Epoch: 88, Time Spent: 4053.13s, Accuracy: 90.94%
Epoch: 89, Time Spent: 4098.25s, Accuracy: 90.97%
Epoch: 90, Time Spent: 4143.24s, Accuracy: 91.01%
Epoch: 91, Time Spent: 4188.35s, Accuracy: 91.05%
Epoch: 92, Time Spent: 4233.38s, Accuracy: 91.10%
Epoch: 93, Time Spent: 4278.62s, Accuracy: 91.12%
Epoch: 94, Time Spent: 4323.56s, Accuracy: 91.14%
Epoch: 95, Time Spent: 4368.59s, Accuracy: 91.18%
Epoch: 96, Time Spent: 4413.64s, Accuracy: 91.21%
Epoch: 97, Time Spent: 4459.02s, Accuracy: 91.25%
Epoch: 98, Time Spent: 4504.42s, Accuracy: 91.29%
Epoch: 99, Time Spent: 4549.47s, Accuracy: 91.32%
Epoch: 100, Time Spent: 4594.65s, Accuracy: 91.35%
